1099808240,9.872489606345174e+30,4.862505671207115e-43,-117.80811309814453,5437389210
1100808240,9.873094069254981e+30,4.862505671207115e-43,-117.80811309814453,5437387571
1101808240,9.873698532164789e+30,4.862505671207115e-43,-117.80811309814453,5437384294
1102808240,9.874302995074596e+30,4.862505671207115e-43,-117.80811309814453,5437382656
1103808240,9.874907457984403e+30,4.862505671207115e-43,-117.80811309814453,5437381018
1104808240,9.87551192089421e+30,4.862505671207115e-43,-117.80811309814453,5437379379
1105808240,9.876116383804018e+30,4.862505671207115e-43,-117.80811309814453,5437377741
1106808240,9.876720846713825e+30,4.862505671207115e-43,-117.80811309814453,5437376102
1107808240,9.877325309623632e+30,4.862505671207115e-43,-117.80811309814453,5437374464
1108808240,9.87792977253344e+30,4.862505671207115e-43,-117.80811309814453,5437372826
1109808240,9.878534235443247e+30,4.862505671207115e-43,-117.80811309814453,5437372826
1110808240,9.879138698353054e+30,4.862505671207115e-43,-117.80811309814453,5437371187
1111808240,9.879743161262862e+30,4.862505671207115e-43,-117.80811309814453,5437367910
1112808240,9.880347624172669e+30,4.862505671207115e-43,-117.80811309814453,5437366272
1113808240,9.880952087082476e+30,4.862505671207115e-43,-117.80811309814453,5437362995
1114808240,9.881556549992284e+30,4.862505671207115e-43,-117.80811309814453,5437362995
1115808240,9.882161012902091e+30,4.862505671207115e-43,-117.80811309814453,5437362995
1116808240,9.882765475811898e+30,4.862505671207115e-43,-117.80811309814453,5437361357
1117808240,9.883369938721706e+30,4.862505671207115e-43,-117.80811309814453,5437359718
1118808240,9.883974401631513e+30,4.862505671207115e-43,-117.80811309814453,5437359718
1119808240,9.88457886454132e+30,4.862505671207115e-43,-117.80811309814453,5437358080
1120808240,9.885183327451128e+30,4.862505671207115e-43,-117.80811309814453,5437358080
1121808240,9.885787790360935e+30,4.862505671207115e-43,-117.80811309814453,5437359718
1122808240,9.886392253270742e+30,4.862505671207115e-43,-117.80811309814453,5437361357
1123808240,9.88699671618055e+30,4.862505671207115e-43,-117.80811309814453,5437359718
1124808240,9.887601179090357e+30,4.862505671207115e-43,-117.80811309814453,5437358080
1125808240,9.888205642000164e+30,4.862505671207115e-43,-117.80811309814453,5437359718
1126808240,9.888810104909971e+30,4.862505671207115e-43,-117.80811309814453,5437358080
1127808240,9.889414567819779e+30,4.862505671207115e-43,-117.80811309814453,5437356442
1128808240,9.890019030729586e+30,4.862505671207115e-43,-117.80811309814453,5437358080
1129808240,9.890623493639393e+30,4.862505671207115e-43,-117.80810546875,5437361357
1130808240,9.891227956549201e+30,4.862505671207115e-43,-117.80811309814453,5437353165
1131808240,9.891832419459008e+30,4.862505671207115e-43,-117.80811309814453,5437354803
1132808240,9.892436882368815e+30,4.862505671207115e-43,-117.80811309814453,5437353165
1133808240,9.893041345278623e+30,4.862505671207115e-43,-117.80811309814453,5437356442
1134808240,9.89364580818843e+30,4.862505671207115e-43,-117.80811309814453,5437359718
1135808240,9.894250271098237e+30,4.862505671207115e-43,-117.80811309814453,5437362995
1136808240,9.894854734008045e+30,4.862505671207115e-43,-117.80811309814453,5437362995
1137808240,9.895459196917852e+30,4.862505671207115e-43,-117.80811309814453,5437364634
1138808240,9.896063659827659e+30,4.862505671207115e-43,-117.80811309814453,5437364634
1139808240,9.896668122737466e+30,4.862505671207115e-43,-117.80811309814453,5437362995
1140808240,9.897272585647274e+30,4.862505671207115e-43,-117.80811309814453,5437362995
1141808240,9.897877048557081e+30,4.862505671207115e-43,-117.80811309814453,5437364634
1142808240,9.898481511466888e+30,4.862505671207115e-43,-117.80811309814453,5437366272
1143808240,9.899085974376696e+30,4.862505671207115e-43,-117.80811309814453,5437369549
1144808240,9.899690437286503e+30,4.862505671207115e-43,-117.80811309814453,5437372826
1145808240,9.90029490019631e+30,4.862505671207115e-43,-117.80811309814453,5437374464
1146808240,9.900899363106118e+30,4.862505671207115e-43,-117.80811309814453,5437377741
