0.3599999, 0, 0, 7.659611, 3.03807, 0, 682.6284, -2763.881, -1.884091, 0.008106529, 0.101595, 37.57417, 2.326846, 2.017325, 28.04555
 
0.3699999, -0.04025766, 0, 7.784668, 3.031038, 1.3338328257871975276791895533, 721.9727, -2764.381, -1.884091, 0.008106529, 0.101595, 38.64257, 2.161604, 2.01692, 28.05618
 
0.3799999, -0.04228624, -0.0004025766, 7.917409, 3.031608, 1.2988400805574651941587478219, 762.4327, -2764.882, -1.884091, 0.008106529, 0.101595, 39.71138, 2.164755, 2.016515, 28.06682
 
0.3899999, -0.04432609, -0.0008254389, 8.050378, 3.032323, 1.2656517699151825310773100231, 804.0085, -2765.384, -1.884091, 0.008106529, 0.101595, 40.78057, 2.167787, 2.01611, 28.07746
 
0.3999999, -0.04637584, -0.0012687, 8.183273, 3.03289, 1.2341240508796960376608875928, 846.6992, -2765.886, -1.884091, 0.008106529, 0.101595, 41.85011, 2.170708, 2.015705, 28.0881
 
0.4099999, -0.04843458, -0.001732458, 8.316392, 3.033605, 1.2041245827392528843660914026, 890.506, -2766.39, -1.884091, 0.008106529, 0.101595, 42.92, 2.173524, 2.0153, 28.09874
 
0.4199999, -0.05050072, -0.002216804, 8.44943, 3.03417, 1.1755322685730353391647010685, 935.428, -2766.893, -1.884091, 0.008106529, 0.101595, 43.99021, 2.176243, 2.014895, 28.10937
 
0.4299999, -0.05257321, -0.002721811, 8.582685, 3.034882, 1.1482426832881715832764801660, 981.4651, -2767.398, -1.884091, 0.008106529, 0.101595, 45.06071, 2.178869, 2.014491, 28.12001
 
0.4399998, -0.05465088, -0.003247543, 8.715861, 3.035445, 1.1221568298288006136540074868, 1028.619, -2767.903, -1.884091, 0.008106529, 0.101595, 46.13154, 2.181409, 2.014086, 28.13065
 
0.4499998, -0.05673245, -0.003794052, 8.849249, 3.036156, 1.0971838531945608497821624081, 1076.889, -2768.409, -1.884091, 0.008106529, 0.101595, 47.20264, 2.183869, 2.013681, 28.14129
 
0.4599998, -0.05881647, -0.004361377, 8.982553, 3.036717, 1.0732445298929715844546125907, 1126.274, -2768.915, -1.884091, 0.008106529, 0.101595, 48.27401, 2.186252, 2.013276, 28.15192
 
0.4699998, -0.06090174, -0.004949541, 9.116064, 3.037425, 1.0502632551228749916268047683, 1176.775, -2769.422, -1.884091, 0.008106529, 0.101595, 49.34564, 2.188563, 2.012871, 28.16256
 
0.4799998, -0.0629869, -0.005558559, 9.249487, 3.037985, 1.0281739877673729200205883509, 1228.391, -2769.93, -1.884091, 0.008106529, 0.101595, 50.41753, 2.190808, 2.012466, 28.1732
 
0.4899998, -0.06507064, -0.006188428, 9.383116, 3.038691, 1.0069132714890937165357947579, 1281.124, -2770.438, -1.884091, 0.008106529, 0.101595, 51.48965, 2.192989, 2.012061, 28.18384
 
0.4999998, -0.06715166, -0.006839134, 9.516657, 3.039249, 0.9864256627671862409161303954, 1334.973, -2770.947, -1.884091, 0.008106529, 0.101595, 52.56202, 2.195111, 2.011656, 28.19448
 
0.5099998, -0.06922822, -0.00751065, 9.650249, 3.039806, 0.9666558473197873093220700120, 1389.936, -2771.457, -1.884091, 0.008106529, 0.101595, 53.63459, 2.197177, 2.011251, 28.20511
 
0.5199998, -0.07129898, -0.008202933, 9.784193, 3.040656, 0.9475569113984935646027666373, 1446.016, -2771.967, -1.884091, 0.008106529, 0.101595, 54.7074, 2.19919, 2.010847, 28.21575
 
0.5299998, -0.07336248, -0.008915923, 9.917743, 3.041063, 0.9290828459277307544106140078, 1503.21, -2772.478, -1.884091, 0.008106529, 0.101595, 55.78039, 2.201155, 2.010442, 28.22639
 
0.5399998, -0.07541718, -0.009649548, 10.05165, 3.041765, 0.9111921651960959982094743763, 1561.52, -2772.99, -1.884091, 0.008106529, 0.101595, 56.85361, 2.203074, 2.010037, 28.23703
 
0.5499998, -0.07746116, -0.01040372, 10.18559, 3.042466, 0.8938462267496707330180432020, 1620.945, -2773.502, -1.884091, 0.008106529, 0.101595, 57.92701, 2.204949, 2.009632, 28.24767
 
0.5599998, -0.07949284, -0.01117833, 10.31944, 3.043017, 0.8770091021530405113316603032, 1681.485, -2774.015, -1.884091, 0.008106529, 0.101595, 59.00059, 2.206783, 2.009227, 28.2583
 
0.5699998, -0.08151057, -0.01197326, 10.45349, 3.043715, 0.8606470600333767775890809642, 1743.142, -2774.529, -1.884091, 0.008106529, 0.101595, 60.07438, 2.20858, 2.008822, 28.26894
 
0.5799997, -0.08351243, -0.01278837, 10.58744, 3.044266, 0.8447270152127468170609517115, 1805.913, -2775.043, -1.884091, 0.008106529, 0.101595, 61.14835, 2.21034, 2.008417, 28.27958
 
0.5899997, -0.08549647, -0.01362349, 10.72144, 3.044814, 0.8292223444620225289550048530, 1869.798, -2775.558, -1.884091, 0.008106529, 0.101595, 62.2225, 2.212068, 2.008012, 28.29022
 
0.5999997, -0.08746062, -0.01447845, 10.85563, 3.045508, 0.8141048736843689603005262349, 1934.799, -2776.073, -1.884091, 0.008106529, 0.101595, 63.29682, 2.213765, 2.007608, 28.30086
 
0.6099997, -0.08940324, -0.01535306, 10.98986, 3.046204, 0.7993503059522357358347217207, 2000.912, -2776.59, -1.884091, 0.008106529, 0.101595, 64.37128, 2.215432, 2.007203, 28.31149
 
0.6199997, -0.09132203, -0.01624709, 11.12398, 3.04675, 0.7849347320550027474112577246, 2068.14, -2777.106, -1.884091, 0.008106529, 0.101595, 65.4459, 2.217072, 2.006798, 28.32213
 
0.6299997, -0.09321496, -0.01716031, 11.25815, 3.047295, 0.7708335965871682623393051582, 2136.482, -2777.624, -1.884091, 0.008106529, 0.101595, 66.5207, 2.218688, 2.006393, 28.33277
 
0.6399997, -0.09507913, -0.01809246, 11.39251, 3.047987, 0.7570260920735452626758720960, 2205.938, -2778.142, -1.884091, 0.008106529, 0.101595, 67.59563, 2.22028, 2.005988, 28.34341
 
0.6499997, -0.09691277, -0.01904325, 11.52692, 3.048678, 0.7434934788625627594612992233, 2276.507, -2778.661, -1.884091, 0.008106529, 0.101595, 68.67072, 2.221851, 2.005583, 28.35404
 
0.6599997, -0.09871344, -0.02001238, 11.66121, 3.049219, 0.7302177927365154675279013229, 2348.189, -2779.18, -1.884091, 0.008106529, 0.101595, 69.74596, 2.223402, 2.005178, 28.36468
 
0.6699997, -0.1004786, -0.02099951, 11.79554, 3.04976, 0.7171806817607639574222428796, 2420.986, -2779.701, -1.884091, 0.008106529, 0.101595, 70.82135, 2.224934, 2.004773, 28.37532
 
0.6799996, -0.1022053, -0.0220043, 11.93006, 3.050448, 0.7043645694345280415340462304, 2494.895, -2780.221, -1.884091, 0.008106529, 0.101595, 71.89688, 2.226449, 2.004368, 28.38596
 
0.6899996, -0.1038911, -0.02302635, 12.06462, 3.051136, 0.6917553687093883047933094247, 2569.916, -2780.743, -1.884091, 0.008106529, 0.101595, 72.97254, 2.22795, 2.003963, 28.3966
 
0.6999996, -0.1055335, -0.02406527, 12.19907, 3.051672, 0.6793384755810213248841973591, 2646.049, -2781.265, -1.884091, 0.008106529, 0.101595, 74.04833, 2.229436, 2.003559, 28.40723
 
0.7099996, -0.1071293, -0.0251206, 12.33356, 3.052209, 0.6670990275671471525037869819, 2723.294, -2781.788, -1.884091, 0.008106529, 0.101595, 75.12426, 2.23091, 2.003154, 28.41787
 
0.7199996, -0.1086754, -0.02619189, 12.46822, 3.052894, 0.6550247469650136289169005000, 2801.649, -2782.311, -1.884091, 0.008106529, 0.101595, 76.20029, 2.232373, 2.002749, 28.42851
 
0.7299996, -0.1101687, -0.02727865, 12.60292, 3.053576, 0.6431027098769960175722073615, 2881.116, -2782.835, -1.884091, 0.008106529, 0.101595, 77.27645, 2.233825, 2.002344, 28.43915
 
0.7399996, -0.1116066, -0.02838034, 12.73751, 3.054111, 0.6313214140341936472391081304, 2961.691, -2783.36, -1.884091, 0.008106529, 0.101595, 78.35271, 2.235269, 2.001939, 28.44979
 
0.7499996, -0.1129855, -0.0294964, 12.87213, 3.054642, 0.6196702618405491677776398180, 3043.379, -2783.885, -1.884091, 0.008106529, 0.101595, 79.42911, 2.236705, 2.001534, 28.46042
 
0.7599996, -0.114302, -0.03062626, 13.00694, 3.055324, 0.6081381387441012218020062822, 3126.178, -2784.411, -1.884091, 0.008106529, 0.101595, 80.50564, 2.238134, 2.001129, 28.47106
 
0.7699996, -0.1155528, -0.03176928, 13.14162, 3.055854, 0.5967162564944584231173054426, 3210.085, -2784.938, -1.884091, 0.008106529, 0.101595, 81.58228, 2.239558, 2.000724, 28.4817
 
0.7799996, -0.116734, -0.0329248, 13.27649, 3.056532, 0.5853953098853266706725653148, 3295.101, -2785.465, -1.884091, 0.008106529, 0.101595, 82.65901, 2.240977, 2.000319, 28.49234
 
0.7899995, -0.1178421, -0.03409215, 13.41138, 3.05721, 0.5741649597985960945865681143, 3381.226, -2785.993, -1.884091, 0.008106529, 0.101595, 83.73586, 2.242392, 1.999915, 28.50298
 
