# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
0,0,0,34.446,0,34.704,0,0,0,0,0,4.2294,33,107,32.137,83,0,0,0,71.957,4.0372,8.1953,0.058685,NaN,27.825,NaN,0.011873,337748,41.412,7.2505e-5,0.67003,0.0028511,0.55,8.1885e-6,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.25,3.9761,83,0,NaN,58.098,1004.2,1115.8,0.01,0.0017509
0.01,0.0017223,0.34446,166.66,0.34704,167.91,2.1147e-4,0,2.1147e-4,0,0.042294,20.463,33,107,32.137,81.514,0,0,0,71.957,4.0372,8.1953,0.058685,NaN,27.825,NaN,0.011905,338672,124.23,1.2768e-4,0.66969,0.0049934,0.54967,8.2334e-6,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2581e-5,2.25,3.9761,83,0,NaN,58.098,1004.2,1115.8,0.01,0.0020161
0.02,0.013501,2.0114,283.6,2.0265,285.73,0.0016577,0,0.0016577,0,0.24697,34.822,33,107,32.137,74.509,0,0,0,71.94,4.0207,8.193,0.058683,NaN,27.821,NaN,0.012209,347315,197.45,7.4903e-4,0.66663,0.027854,0.5466,8.6591e-6,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4865e-4,2.25,3.9761,83,0,NaN,58.098,1004.2,1115.8,0.01,0.0022579
0.03,0.047798,4.8482,308.52,4.8846,310.84,0.0058689,0,0.0058689,0,0.59528,37.882,33,107,32.137,63.657,0,0,0,71.919,3.9994,8.1899,0.05868,NaN,27.816,NaN,0.013118,373186,213,0.0036412,0.65803,0.11728,0.538,9.9973e-6,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9932e-4,2.25,3.9761,83,0,NaN,58.098,1004.2,1115.8,0.01,0.0026574
0.04,0.11171,7.9346,318.15,7.9941,320.54,0.013716,0,0.013716,0,0.97424,39.064,33,107,32.137,53.769,0,0,0,71.888,3.9685,8.1854,0.058676,NaN,27.808,NaN,0.014562,414267,218.94,0.009862,0.64589,0.25777,0.52585,1.232e-5,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8085e-4,2.25,3.9761,83,0,NaN,58.097,1004.2,1115.8,0.01,0.0029168
0.05,0.20697,11.117,327.8,11.201,330.26,0.025413,0,0.025413,0,1.365,40.249,33,107,32.137,45.635,0,0,0,71.853,3.933,8.1803,0.058672,NaN,27.799,NaN,0.016418,467054,224.88,0.019536,0.63246,0.40173,0.51241,1.566e-5,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013743,2.25,3.9761,83,0,NaN,58.097,1004.2,1115.8,0.01,0.0031664
0.06,0.33454,14.397,337.46,14.505,339.99,0.041076,0,0.041076,0,1.7677,41.434,33,107,32.137,39.291,0,0,0,71.817,3.8974,8.1751,0.058668,NaN,27.79,NaN,0.018673,531206,230.81,0.03249,0.6186,0.51648,0.49854,2.0259e-5,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017797,2.25,3.9761,83,0,NaN,58.097,1004.2,1115.8,0.01,0.0035265
0.07,0.49539,17.773,346.72,17.906,349.32,0.060826,0,0.060826,0,2.1822,42.572,33,107,32.137,34.227,0,0,0,71.781,3.8618,8.17,0.058663,NaN,27.781,NaN,0.021179,602489,236.51,0.048526,0.60559,0.59965,0.48551,2.6063e-5,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002197,2.25,3.9761,83,0,NaN,58.096,1004.2,1115.8,0.01,0.0037867
0.08,0.69045,21.241,349.73,21.401,352.35,0.084777,0,0.084777,0,2.6081,42.941,33,107,32.137,30.158,0,0,0,71.745,3.8258,8.1648,0.058659,NaN,27.772,NaN,0.023887,679525,238.28,0.067427,0.59363,0.655,0.47353,3.3157e-5,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026258,2.25,3.9761,83,0,NaN,58.095,1004.2,1115.8,0.01,0.0040265
0.09,0.92036,24.74,350.58,24.926,353.21,0.11301,0,0.11301,0,3.0377,43.046,33,107,32.137,26.903,0,0,0,71.708,3.7885,8.1593,0.058654,NaN,27.763,NaN,0.026715,759975,238.71,0.088647,0.58291,0.68847,0.46278,4.1478e-5,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030583,2.25,3.9761,83,0,NaN,58.094,1004.2,1115.8,0.01,0.0045524
0.1,1.1853,28.247,351.43,28.46,354.07,0.14554,0,0.14554,0,3.4684,43.151,33,107,32.137,24.272,0,0,0,71.67,3.7503,8.1538,0.05865,NaN,27.753,NaN,0.02962,842602,239.14,0.11185,0.57335,0.70664,0.45318,5.0994e-5,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0034919,2.25,3.9761,83,0,NaN,58.094,1004.2,1115.8,0.01,0.0048566
0.11,1.4854,31.763,352.29,32.002,354.93,0.18238,0,0.18238,0,3.9,43.255,33,107,32.137,22.001,0,0,0,71.632,3.7121,8.1482,0.058645,NaN,27.743,NaN,0.032549,925912,239.57,0.13675,0.56487,0.7155,0.44467,6.1585e-5,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0039265,2.25,3.9761,83,0,NaN,58.092,1004.2,1115.8,0.01,0.0051468
0.12,1.8206,35.288,353.13,35.553,355.79,0.22354,0,0.22354,0,4.3328,43.359,33,107,32.137,20.103,0,0,0,71.593,3.6738,8.1427,0.058641,NaN,27.733,NaN,0.035528,1010640,240,0.16384,0.55921,0.71953,0.43898,7.3384e-5,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0043622,2.25,3.9761,83,0,NaN,58.091,1004.1,1115.8,0.01,0.0054284
0.13,2.1911,38.82,353.89,39.112,356.55,0.26904,0,0.26904,0,4.7666,43.452,33,107,32.137,18.497,0,0,0,71.555,3.6356,8.1371,0.058636,NaN,27.724,NaN,0.038547,1096508,240.37,0.1944,0.55925,0.72524,0.43897,8.6399e-5,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0047989,2.25,3.9761,83,0,NaN,58.09,1004.1,1115.8,0.01,0.00566
0.14,2.597,42.361,354.58,42.679,357.24,0.31888,0,0.31888,0,5.2013,43.537,33,107,32.137,17.121,0,0,0,71.517,3.5972,8.1315,0.058631,NaN,27.714,NaN,0.041598,1183295,240.7,0.22696,0.55928,0.72705,0.43895,1.0064e-4,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0052365,2.25,3.9761,83,0,NaN,58.089,1004.1,1115.8,0.01,0.0059042
0.15,3.0384,45.908,355.27,46.253,357.94,0.37307,0,0.37307,0,5.6368,43.621,33,107,32.137,15.933,0,0,0,71.478,3.5587,8.1258,0.058627,NaN,27.704,NaN,0.044676,1270838,241.04,0.26112,0.55932,0.72521,0.43894,1.161e-4,0.12026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005675,2.25,3.9761,83,0,NaN,58.087,1004.1,1115.8,0.01,0.0061514
0.16,3.5152,49.462,355.95,49.834,358.63,0.43162,0,0.43162,0,6.0732,43.706,33,107,32.137,15.111,0,0,0,71.44,3.5201,8.1202,0.058622,NaN,27.694,NaN,0.04785,1361086,241.37,0.29796,0.55936,0.72141,0.43893,1.3321e-4,0.1203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0061144,2.25,3.9761,83,0,NaN,58.085,1004.1,1115.8,0.01,0.0063965
0.17,4.0277,53.023,356.64,53.421,359.32,0.49454,0,0.49454,0,6.5104,43.79,33,107,32.137,14.389,0,0,0,71.401,3.4816,8.1146,0.058617,NaN,27.684,NaN,0.051038,1451746,241.71,0.3367,0.55941,0.71657,0.43892,1.5158e-4,0.12034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0065546,2.25,3.9761,83,0,NaN,58.083,1004.1,1115.7,0.01,0.0066182
0.18,4.5757,56.591,357.66,57.016,360.34,0.56183,0,0.56183,0,6.9485,43.915,33,107,32.137,13.751,0,0,0,71.363,3.443,8.1089,0.058613,NaN,27.674,NaN,0.054239,1542776,242.25,0.37743,0.55946,0.71124,0.4389,1.7124e-4,0.12038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0069956,2.25,3.9761,83,0,NaN,58.081,1004,1115.7,0.01,0.0068772
0.19,5.1595,60.169,359.17,60.621,361.87,0.63351,0,0.63351,0,7.3878,44.1,33,107,32.137,13.182,0,0,0,71.324,3.4043,8.1032,0.058608,NaN,27.664,NaN,0.057455,1634227,243.1,0.42024,0.55951,0.70576,0.43889,1.9219e-4,0.12043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0074379,2.25,3.9761,83,0,NaN,58.079,1004,1115.7,0.01,0.0071301
0.2,5.7792,63.762,360.68,64.241,363.39,0.7096,0,0.7096,0,7.829,44.286,33,107,32.137,12.67,0,0,0,71.285,3.3652,8.0975,0.058603,NaN,27.654,NaN,0.060689,1726197,243.95,0.46525,0.55956,0.70031,0.43887,2.145e-4,0.12048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0078821,2.25,3.9761,83,0,NaN,58.077,1004,1115.7,0.01,0.0073596
0.21,6.4348,67.37,362.2,67.876,364.92,0.7901,0,0.7901,0,8.272,44.473,33,107,32.137,12.093,0,0,0,71.246,3.3262,8.0918,0.058598,NaN,27.644,NaN,0.063897,1817405,244.8,0.5108,0.55962,0.69362,0.43885,2.3784e-4,0.12053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0083282,2.25,3.9761,83,0,NaN,58.075,1004,1115.7,0.01,0.0079002
0.22,7.1267,70.994,363.71,71.527,366.45,0.87504,0,0.87504,0,8.7169,44.658,33,107,32.137,11.569,0,0,0,71.207,3.2871,8.086,0.058594,NaN,27.634,NaN,0.067124,1909156,245.66,0.5584,0.55968,0.68713,0.43883,2.6255e-4,0.12059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0087761,2.25,3.9761,83,0,NaN,58.072,1004,1115.7,0.01,0.0083198
0.23,7.8548,74.632,364.95,75.193,367.7,0.96445,0,0.96445,0,9.1637,44.811,33,107,32.137,11.091,0,0,0,71.168,3.2481,8.0803,0.058589,NaN,27.624,NaN,0.07037,2001429,246.34,0.60814,0.55975,0.68091,0.43881,2.8865e-4,0.12064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0092259,2.25,3.9761,83,0,NaN,58.07,1003.9,1115.7,0.01,0.0086088
0.24,8.6194,78.283,365.07,78.871,367.81,1.0583,0,1.0583,0,9.612,44.825,33,107,32.137,10.654,0,0,0,71.129,3.209,8.0745,0.058584,NaN,27.614,NaN,0.073631,2094137,246.33,0.66003,0.55981,0.67502,0.43879,3.1613e-4,0.1207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0096772,2.25,3.9761,83,0,NaN,58.067,1003.9,1115.7,0.01,0.0088465
0.25,9.4205,81.935,365.07,82.551,367.81,1.1567,0,1.1567,0,10.06,44.824,33,107,32.137,10.253,0,0,0,71.089,3.1697,8.0687,0.058579,NaN,27.604,NaN,0.076897,2186981,246.25,0.71396,0.55988,0.66948,0.43877,3.4491e-4,0.12077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010129,2.25,3.9761,83,0,NaN,58.064,1003.9,1115.7,0.01,0.0090711
0.26,10.258,85.587,365.06,86.23,367.8,1.2595,0,1.2595,0,10.509,44.823,33,107,32.137,9.8402,0,0,0,71.05,3.1303,8.0629,0.058575,NaN,27.594,NaN,0.080147,2279372,246.16,0.76882,0.55996,0.66365,0.43875,3.7482e-4,0.12084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01058,2.25,3.9761,83,0,NaN,58.061,1003.8,1115.7,0.01,0.0095239
0.27,11.132,89.239,365.05,89.91,367.79,1.3669,0,1.3669,0,10.957,44.822,33,107,32.137,9.4594,0,0,0,71.011,3.0909,8.057,0.05857,NaN,27.584,NaN,0.083401,2371865,246.07,0.82565,0.56004,0.6582,0.43873,4.0603e-4,0.1209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011032,2.25,3.9761,83,0,NaN,58.058,1003.8,1115.7,0.01,0.0097784
0.28,12.043,92.891,365.06,93.589,367.8,1.4787,0,1.4787,0,11.406,44.823,33,107,32.137,9.1073,0,0,0,70.971,3.0516,8.0512,0.058565,NaN,27.574,NaN,0.086659,2464445,246,0.8845,0.56012,0.65312,0.4387,4.3854e-4,0.12098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011483,2.25,3.9761,83,0,NaN,58.055,1003.8,1115.7,0.01,0.010017
0.29,12.99,96.543,365.43,97.268,368.17,1.595,0,1.595,0,11.854,44.869,33,107,32.137,8.7807,0,0,0,70.932,3.0122,8.0454,0.05856,NaN,27.563,NaN,0.089919,2557108,246.16,0.94538,0.5602,0.64839,0.43868,4.7236e-4,0.12105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011934,2.25,3.9761,83,0,NaN,58.051,1003.7,1115.7,0.01,0.010269
0.3,13.974,100.2,365.93,100.95,368.68,1.7158,0,1.7158,0,12.303,44.93,33,107,32.137,8.4767,0,0,0,70.892,2.9728,8.0395,0.058555,NaN,27.553,NaN,0.093186,2649936,246.39,1.0084,0.56029,0.64398,0.43865,5.0752e-4,0.12113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012386,2.25,3.9761,83,0,NaN,58.048,1003.7,1115.7,0.01,0.010505
0.31,14.994,103.86,366.42,104.64,369.17,1.841,0,1.841,0,12.752,44.991,33,107,32.137,8.1981,0,0,0,70.853,2.9333,8.0336,0.058551,NaN,27.543,NaN,0.096462,2743022,246.63,1.0737,0.56038,0.63996,0.43862,5.4408e-4,0.12121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012839,2.25,3.9761,83,0,NaN,58.044,1003.7,1115.7,0.01,0.010687
0.32,16.051,107.52,366.91,108.33,369.67,1.9708,0,1.9708,0,13.202,45.051,33,107,32.137,7.9375,0,0,0,70.814,2.8939,8.0278,0.058546,NaN,27.533,NaN,0.099745,2836287,246.86,1.1413,0.56047,0.63621,0.43859,5.82e-4,0.12129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013292,2.25,3.9761,83,0,NaN,58.041,1003.6,1115.7,0.01,0.01092
0.33,17.145,111.2,367.4,112.03,370.16,2.1051,0,2.1051,0,13.653,45.111,33,107,32.137,7.6932,0,0,0,70.774,2.8545,8.0219,0.058541,NaN,27.522,NaN,0.10303,2929724,247.09,1.2111,0.56057,0.63271,0.43856,6.2131e-4,0.12138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013746,2.25,3.9761,83,0,NaN,58.037,1003.6,1115.7,0.01,0.011153
0.34,18.275,114.87,368.01,115.73,370.36,2.2439,0,2.2439,0,14.104,41.734,33,107,32.137,7.4637,0,0,0,70.735,2.815,8.016,0.058536,35.804,27.512,3.6855,0.10633,3023328,247.11,1.2831,0.56067,0.62946,0.43853,6.6202e-4,0.12147,2.1975,8.0992,1.6687e-4,0,0,0,0,0,0.0142,2.25,3.9761,83,0,NaN,58.033,1003.6,1115.7,0.015,0.011433
0.355,20.039,120.39,367.74,121.29,370.08,2.4601,1.2765e-7,2.4601,2.9729e-6,14.729,41.557,33,107,32.137,7.1295,0,0.0068368,5.3755e-9,70.685,2.7657,8.0087,0.05853,35.901,27.499,3.7343,0.11128,3164075,246.86,1.3949,0.56082,0.62478,0.43849,7.2572e-4,0.12161,2.079,7.762,-1.5113e-4,0,0,0,0,0.001438,0.014881,2.25,3.9761,82.982,1.8101e-6,NaN,58.026,1003.5,1115.7,0.0225,0.01165
0.3775,22.841,128.67,367.28,129.62,369.64,2.8021,8.1211e-7,2.8021,1.6606e-5,15.666,41.78,33,107,32.137,6.6831,0,0.017756,5.6674e-9,70.611,2.6917,7.9976,0.058521,36.034,27.48,3.802,0.11876,3376294,246.56,1.5728,0.56107,0.61866,0.43841,8.2748e-4,0.12183,1.9236,7.305,1.331e-4,0,0,0,0,0.0085175,0.015903,2.25,3.9761,82.883,1.3853e-6,NaN,58.016,1003.4,1115.7,0.022168,0.011902
0.39967,25.784,136.82,366.84,137.82,369.33,3.1597,2.0933e-6,3.1597,3.7959e-5,16.603,42.779,33,107,32.137,6.2005,0,0.029189,1.4131e-7,70.523,2.6036,7.9844,0.058511,36.182,27.457,3.8781,0.12612,3585322,246.24,1.7552,0.56133,0.6122,0.43833,9.3446e-4,0.12207,1.7593,6.8027,3.7553e-4,0,0,0,0,0.020408,0.016909,2.25,3.9761,82.696,1.4523e-6,NaN,58.006,1003.3,1115.7,0.021074,0.012138
0.42074,28.749,144.55,366.31,145.61,369.04,3.5192,3.8943e-6,3.5192,6.3402e-5,17.526,44.793,33,107,32.137,5.5303,0,0.040323,2.9203e-7,70.438,2.5184,7.9716,0.0585,36.395,27.434,3.9827,0.13303,3781396,245.92,1.9247,0.5616,0.60348,0.43825,0.001041,0.1223,1.5376,6.089,-2.2682e-4,0,0,0,0,0.03501,0.017864,2.25,3.9761,82.432,2.5248e-6,NaN,57.995,1003.2,1115.7,0.021131,0.012302
0.44187,31.885,152.29,365.62,153.41,368.71,3.8998,6.2962e-6,3.8998,9.2504e-5,18.502,47.59,33,107,32.137,4.831,0,0.051311,3.9792e-7,70.355,2.4354,7.9591,0.05849,36.628,27.412,4.0957,0.13996,3978048,245.59,2.1002,0.56187,0.59497,0.43817,0.0011538,0.12255,1.3142,5.3317,4.7077e-4,0,0,0,0,0.051215,0.018822,2.25,3.9761,82.083,-1.0804e-8,NaN,57.984,1003.1,1115.6,0.02177,0.012451
0.46364,35.287,160.25,364.77,161.44,368.33,4.3141,9.4263e-6,4.3141,1.2519e-4,19.576,51.119,33,107,32.137,4.1636,0,0.062177,9.5708e-7,70.271,2.3511,7.9463,0.05848,36.86,27.39,4.209,0.14715,4181996,245.24,2.2923,0.56217,0.58757,0.43808,0.0012773,0.12281,1.1089,4.5988,3.5572e-4,0,0,0,0,0.068036,0.019808,2.25,3.9761,81.638,2.7707e-6,NaN,57.972,1002.9,1115.6,0.0228,0.012668
0.48644,39.035,168.57,363.6,169.85,367.82,4.7741,1.3449e-5,4.7741,1.6141e-4,20.793,55.555,33,107,32.137,3.4758,0,0.072917,1.3692e-6,70.183,2.2636,7.9331,0.058469,37.111,27.367,4.3308,0.1547,4396351,244.8,2.5042,0.56251,0.58078,0.43798,0.0014142,0.12311,0.90523,3.8355,-1.6249e-6,0,0,0,0,0.084652,0.02084,2.25,3.9761,81.083,3.7004e-6,NaN,57.959,1002.8,1115.6,0.024693,0.012889
0.51114,43.309,177.54,361.44,178.93,366.58,5.3051,1.8707e-5,5.3051,2.0204e-4,22.235,61.216,33,107,32.137,2.6706,0,0.083284,1.8309e-6,70.09,2.1706,7.919,0.058458,37.421,27.342,4.4794,0.16287,4627976,243.88,2.7432,0.56289,0.57408,0.43787,0.0015705,0.12345,0.67704,2.9331,4.447e-4,0,0,0,0,0.099637,0.021956,2.25,3.9761,80.388,1.419e-5,NaN,57.943,1002.7,1115.6,0.029085,0.013047
0.54022,48.625,188.04,358.22,189.58,364.79,5.9788,2.6199e-5,5.9788,2.5107e-4,24.131,68.917,33,107,32.137,1.6635,0,0.092763,3.8663e-6,69.985,2.0656,7.903,0.058445,37.834,27.314,4.6752,0.17245,4899484,242.44,3.0417,0.56336,0.56789,0.43773,0.0017648,0.12387,0.40731,1.7939,-1.8173e-4,0,0,0,0,0.11026,0.023267,2.25,3.9761,79.463,4.2584e-5,NaN,57.924,1002.5,1115.6,0.04234,0.013204
0.58256,56.907,203.15,351.34,204.98,360.63,7.0661,3.9861e-5,7.0661,3.2321e-4,27.325,81.337,33,107,32.137,0.08926,0,0.098683,9.7223e-5,69.847,1.9269,7.8818,0.058428,38.543,27.277,5.0068,0.18624,5290094,239.77,3.5228,0.56408,0.5641,0.43751,0.0020657,0.12451,0.020644,-0.0037105,-6.1388e-5,0,0,0,0,0.107,0.025165,2.25,3.9761,77.99,5.8561e-5,NaN,57.895,1002.2,1115.5,0.05,0.013353
0.63256,67.502,220.61,339.09,222.89,352.28,8.5409,6.0781e-5,8.5409,4.0775e-4,31.796,95.498,33,107,32.137,1.5686,0,-0.089219,6.1585e-6,69.669,1.7492,7.8545,0.058407,37.883,27.23,4.7349,0.20231,5744826,236.05,4.1919,0.565,0.56907,0.43723,0.0024487,0.12532,0.38331,1.8893,4.1363e-4,0,0,0,0,-0.074123,0.027379,2.25,3.9761,76.271,1.0362e-4,NaN,57.857,1001.8,1115.5,0.029052,0.013508
0.66161,74.055,230.48,333.76,233.08,349.36,9.5064,7.5594e-5,9.5064,4.5562e-4,34.711,103.23,33,107,32.137,2.3041,0,-0.074832,3.5567e-6,69.518,1.5985,7.8313,0.058389,37.582,27.189,4.6192,0.21147,6003864,233.54,4.6193,0.56556,0.57407,0.43707,0.0026829,0.12581,0.57805,2.7179,-8.9066e-5,0,0,0,0,-0.047728,0.028642,2.25,3.9761,75.407,1.065e-4,NaN,57.834,1001.6,1115.5,0.018433,0.013699
0.68005,78.36,236.64,330.17,239.46,347.15,10.164,8.6122e-5,10.164,4.8548e-4,36.663,107.26,33,107,32.137,2.6527,0,-0.062521,3.8451e-6,69.429,1.5093,7.8175,0.058378,37.446,27.165,4.5693,0.21721,6166199,231.69,4.898,0.56593,0.57704,0.43696,0.0028358,0.12613,0.67375,3.1105,-4.3124e-4,0,0,0,0,-0.031579,0.029434,2.25,3.9761,74.95,1.1662e-4,NaN,57.818,1001.4,1115.5,0.015242,0.013848
0.69529,82.005,241.67,326.78,244.69,344.74,10.735,9.5521e-5,10.735,5.098e-4,38.324,109.81,33,107,32.137,2.8646,0,-0.050688,4.283e-6,69.366,1.4467,7.8078,0.05837,37.365,27.148,4.5409,0.22192,6299142,230.11,5.1299,0.56624,0.57908,0.43687,0.0029645,0.1264,0.73302,3.3485,-2.501e-4,0,0,0,0,-0.019886,0.030083,2.25,3.9761,74.639,1.5562e-4,NaN,57.805,1001.3,1115.4,0.01355,0.013999
0.70884,85.31,246.1,323.63,249.3,342.24,11.265,1.0444e-4,11.265,5.3123e-4,39.829,111.32,33,107,32.137,2.9673,0,-0.03912,4.3073e-6,69.313,1.3933,7.7995,0.058364,37.327,27.133,4.5305,0.22609,6416913,228.56,5.3345,0.56651,0.58024,0.43679,0.0030812,0.12664,0.76212,3.4645,-4.0223e-4,0,0,0,0,-0.011413,0.030656,2.25,3.9761,74.42,2.0484e-4,NaN,57.794,1001.2,1115.4,0.012606,0.014188
0.72144,88.438,250.18,320.66,253.55,339.68,11.776,1.1326e-4,11.776,5.5108e-4,41.242,112.08,33,107,32.137,2.9981,0,-0.027732,4.5998e-6,69.265,1.3453,7.7921,0.058358,37.317,27.12,4.5317,0.22994,6525878,227,5.5226,0.56677,0.58077,0.43671,0.0031914,0.12687,0.77098,3.4994,1.0108e-4,0,0,0,0,-0.0055444,0.031185,2.25,3.9761,74.268,2.5911e-4,NaN,57.782,1001,1115.4,0.012054,0.014345
0.7335,91.477,254.04,317.92,257.59,337.17,12.281,1.2219e-4,12.281,5.7007e-4,42.599,112.27,33,107,32.137,2.979,0,-0.016449,4.3155e-6,69.22,1.3008,7.7851,0.058352,37.326,27.108,4.541,0.23361,6629238,225.49,5.7001,0.56703,0.58087,0.43663,0.003298,0.12709,0.76574,3.4791,-3.7598e-4,0,0,0,0,-0.00189,0.031687,2.25,3.9761,74.172,3.164e-4,NaN,57.772,1000.9,1115.4,0.011738,0.014508
0.74524,94.481,257.77,315.39,261.49,334.67,12.789,1.3139e-4,12.789,5.8865e-4,43.92,111.95,33,107,32.137,2.915,0,-0.0052578,4.383e-6,69.177,1.2577,7.7784,0.058347,37.352,27.097,4.5578,0.23714,6729108,224.01,5.8705,0.56728,0.58057,0.43656,0.0034029,0.12731,0.74781,3.4085,1.0921e-4,0,0,0,0,-1.8739e-4,0.032173,2.25,3.9761,74.126,3.7975e-4,NaN,57.761,1000.8,1115.4,0.011618,0.014663
0.75685,97.497,261.44,313.03,265.32,332.17,13.307,1.4102e-4,13.307,6.072e-4,45.221,111.13,33,107,32.137,2.8108,0,0.005848,4.1677e-6,69.135,1.2155,7.7718,0.058342,37.393,27.085,4.5815,0.24062,6827133,222.54,6.0366,0.56752,0.57995,0.43649,0.0035077,0.12753,0.71868,3.2922,4.1032e-4,0,0,0,0,2.2517e-4,0.03265,2.25,3.9761,74.127,4.4451e-4,NaN,57.75,1000.7,1115.4,0.011675,0.014812
0.76853,100.57,265.09,310.82,269.14,329.65,13.842,1.5125e-4,13.842,6.2606e-4,46.515,109.82,33,107,32.137,2.6656,0,0.016861,3.2988e-6,69.093,1.1738,7.7653,0.058337,37.452,27.074,4.6124,0.24408,6924850,221.07,6.2011,0.56777,0.57902,0.43642,0.003614,0.12774,0.67832,3.1267,4.6141e-4,0,0,0,0,0.0018192,0.033126,2.25,3.9761,74.175,5.0554e-4,NaN,57.739,1000.6,1115.4,0.011938,0.014963
0.78047,103.76,268.8,308.68,273.03,327.02,14.405,1.6232e-4,14.405,6.4562e-4,47.82,107.96,33,107,32.137,2.4753,0,0.02776,3.1876e-6,69.052,1.1322,7.7588,0.058332,37.528,27.062,4.6515,0.2476,7024016,219.55,6.3671,0.56803,0.57782,0.43634,0.0037237,0.12797,0.62595,2.9068,2.4002e-4,0,0,0,0,0.0047921,0.03361,2.25,3.9761,74.271,5.6524e-4,NaN,57.728,1000.5,1115.4,0.01247,0.015118
0.79294,107.13,272.66,306.58,277.05,324.22,15.01,1.7458e-4,15.01,6.6639e-4,49.156,105.48,33,107,32.137,2.2349,0,0.038516,2.8857e-6,69.009,1.0894,7.7521,0.058327,37.626,27.05,4.7003,0.25124,7126802,217.94,6.5387,0.5683,0.57637,0.43626,0.0038394,0.12821,0.56058,2.6256,-2.689e-4,0,0,0,0,0.0089595,0.034111,2.25,3.9761,74.42,6.3222e-4,NaN,57.716,1000.4,1115.3,0.013397,0.015287
0.80633,110.81,276.77,304.31,281.35,321,15.678,1.8858e-4,15.678,6.8916e-4,50.553,102.15,33,107,32.137,1.9222,0,0.049055,2.2874e-6,68.964,1.0439,7.745,0.058321,37.756,27.038,4.7634,0.25514,7236685,216.05,6.7222,0.5686,0.57465,0.43617,0.0039654,0.12846,0.47703,2.2583,3.4873e-4,0,0,0,0,0.014093,0.034646,2.25,3.9761,74.632,7.0542e-4,NaN,57.703,1000.2,1115.3,0.015092,0.015444
