THRUST
; AeroTech M1939W
; converted from TMT test stand data 1998 (www.tripoli.org)
; provided by ThrustCurve.org (www.thrustcurve.org)
; total weight: 8988g, propellant weight: 5656g
0.00	0.00
0.02	1360.74
0.07	2102.90
0.12	2024.20
0.17	1986.98
0.22	1986.49
0.27	1991.59
0.32	1995.21
0.37	2004.78
0.42	2026.21
0.47	2043.14
0.52	2056.57
0.57	2065.68
0.62	2077.88
0.67	2094.28
0.72	2112.12
0.77	2119.95
0.82	2128.66
0.87	2138.49
0.92	2155.19
0.97	2161.83
1.02	2170.85
1.07	2181.56
1.12	2199.35
1.17	2183.49
1.22	2195.63
1.27	2194.64
1.32	2209.21
1.37	2215.31
1.42	2211.64
1.47	2227.60
1.52	2215.75
1.57	2218.88
1.61	2229.55
1.66	2223.49
1.71	2228.05
1.76	2226.96
1.81	2231.22
1.86	2231.12
1.91	2234.39
1.96	2228.34
2.01	2233.23
2.06	2224.23
2.11	2231.76
2.16	2228.05
2.21	2225.37
2.26	2233.40
2.31	2221.95
2.36	2229.98
2.41	2218.85
2.46	2217.29
2.51	2217.24
2.56	2213.08
2.61	2212.24
2.66	2208.67
2.71	2203.12
2.76	2200.64
2.81	2181.15
2.86	2171.70
2.91	2145.97
2.96	2130.86
3.01	2112.07
3.06	2095.62
3.11	2052.60
3.16	2032.98
3.21	2011.88
3.26	1980.29
3.31	1956.70
3.36	1938.17
3.41	1914.72
3.46	1894.80
3.51	1875.42
3.56	1854.90
3.60	1836.72
3.65	1816.30
3.70	1805.84
3.75	1769.41
3.80	1745.03
3.85	1705.97
3.90	1682.73
3.95	1667.86
4.00	1637.15
4.05	1593.67
4.10	1562.10
4.15	1540.64
4.20	1519.58
4.25	1488.11
4.30	1443.15
4.35	1416.24
4.40	1387.83
4.45	1362.07
4.50	1337.34
4.55	1313.01
4.60	1288.23
4.65	1267.51
4.70	1248.08
4.75	1218.74
4.80	1197.99
4.85	1176.96
4.90	1157.79
4.95	1138.95
5.00	1110.36
5.05	1095.39
5.10	1077.25
5.15	1071.20
5.20	1075.01
5.24	999.54
5.29	962.57
5.34	960.68
5.39	913.40
5.44	842.28
5.49	764.52
5.54	704.50
5.59	648.67
5.64	611.28
5.69	570.24
5.74	545.86
5.79	528.47
5.84	494.91
5.89	422.06
5.94	332.75
5.99	253.82
6.04	197.35
6.09	169.94
6.14	146.90
6.19	127.47
6.24	105.32
6.29	78.01
6.34	56.10
6.39	41.79
6.44	27.41
6.49	19.28
6.54	13.73
6.59	10.21
6.64	7.29
6.69	4.31
6.74	2.58
6.79	1.64
-1.00
