# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-8.3871,0,8.4917,0,0,0,0,0,1.3284,28.61,-80.6,9.7884,81,0,0,0,27491,4658.6,38.544,0.11204,NaN,224.47,NaN,0.028008,1986213,32.34,0.0040266,0.61392,0.0054292,0.39479,0.099029,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0031705
2e-3,0,0,-6.0634,0,6.139,0,0,0,0,0,0.96034,28.61,-80.6,9.7884,81,0,0,0,27491,4658.6,38.544,0.11204,NaN,224.47,NaN,0.028041,1988582,97.019,0.0040356,0.61383,0.0054284,0.3947,0.099029,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0046591
4e-3,0,0,-3.7393,0,3.7859,0,0,0,0,0,0.59225,28.61,-80.6,9.7884,81,0,0,0,27490,4657.3,38.543,0.11204,NaN,224.46,NaN,0.028074,1990951,161.7,0.0040447,0.61374,0.0054277,0.39461,0.099029,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0060217
6e-3,0,0,-1.4151,0,1.4327,0,0,0,0,0,0.22412,28.61,-80.6,9.7884,81,0,0,0,27488,4656,38.542,0.11204,NaN,224.46,NaN,0.028108,1993319,226.38,0.0040537,0.61366,0.0054269,0.39452,0.09903,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0073362
8e-3,0,0,0.90943,0,0.92077,0,0,0,0,0,0.14404,28.61,-80.6,9.7884,81,0,0,0,27487,4654.7,38.541,0.11204,NaN,224.45,NaN,0.028141,1995688,291.06,0.0040628,0.61357,0.0054261,0.39444,0.09903,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0087665
0.01,1.8195e-6,0.0018197,3.2341,0.0018424,3.2745,2.8818e-7,0,2.8818e-7,0,2.8821e-4,0.51224,28.61,-80.6,9.7884,80.989,0,0,0,27486,4653.4,38.54,0.11204,NaN,224.45,NaN,0.028175,1998118,355.74,0.0040866,0.61348,0.0054446,0.39435,0.09903,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3674e-7,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.010164
0.012,1.1928e-5,0.008289,5.5591,0.0083923,5.6284,1.8892e-6,0,1.8892e-6,0,0.0013128,0.88047,28.61,-80.6,9.7884,80.95,0,0,0,27485,4652.1,38.539,0.11203,NaN,224.45,NaN,0.028212,2000704,420.42,0.0041483,0.61339,0.0055126,0.39425,0.09903,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0784e-6,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.011663
0.014,3.9625e-5,0.019408,7.8842,0.01965,7.9825,6.276e-6,0,6.276e-6,0,0.003074,1.2487,28.61,-80.6,9.7884,80.883,0,0,0,27483,4650.8,38.538,0.11203,NaN,224.44,NaN,0.028251,2003448,485.1,0.004249,0.61329,0.005631,0.39415,0.09903,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5251e-6,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.013179
0.016,9.4211e-5,0.035178,10.21,0.035617,10.337,1.4922e-5,0,1.4922e-5,0,0.0055716,1.617,28.61,-80.6,9.7884,80.788,0,0,0,27482,4649.5,38.537,0.11203,NaN,224.44,NaN,0.028292,2006354,549.77,0.0043905,0.61318,0.0058016,0.39405,0.09903,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5767e-6,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.014489
0.018,1.8499e-4,0.055599,12.535,0.056292,12.691,2.9299e-5,0,2.9299e-5,0,0.008806,1.9854,28.61,-80.6,9.7884,80.665,0,0,0,27481,4648.2,38.536,0.11203,NaN,224.43,NaN,0.028335,2009427,614.45,0.0045751,0.61307,0.006027,0.39394,0.09903,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2335e-6,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.015842
