# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-6.0607,0,6.1062,0,0,0,0,0,0.74416,28.61,-80.6,9.7884,0,0,0,0,26109,3771.5,38.3,0.11038,NaN,222.09,NaN,0,0,94.235,0,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0024771
2e-3,0,0,1.104,0,1.1123,0,0,0,0,0,0.13556,28.61,-80.6,9.7884,0,0,0,0,26109,3771.5,38.3,0.11038,NaN,222.09,NaN,0,0,282.7,0,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0038467
4e-3,2.2087e-6,0.0022088,8.2695,0.0022254,8.3316,2.7119e-7,0,2.7119e-7,0,2.7121e-4,1.0154,28.61,-80.6,9.7884,0,0,0,0,26108,3770.4,38.299,0.11038,NaN,222.08,NaN,6.6313e-6,470.27,471.17,7.2492e-8,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8556e-7,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0044559
6e-3,2.3166e-5,0.018749,15.436,0.01889,15.551,2.8444e-6,0,2.8444e-6,0,0.0023021,1.8952,28.61,-80.6,9.7884,0,0,0,0,26107,3769.4,38.298,0.11038,NaN,222.08,NaN,5.6289e-5,3991.8,659.64,5.2231e-6,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4239e-6,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0067692
8e-3,9.1536e-5,0.049622,22.602,0.049994,22.772,1.1239e-5,0,1.1239e-5,0,0.0060928,2.7752,28.61,-80.6,9.7884,0,0,0,0,26106,3768.3,38.297,0.11038,NaN,222.08,NaN,1.4898e-4,10565,848.11,3.5988e-5,1.715,1.715,1.496,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4151e-6,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0074762
0.01,2.3599e-4,0.094828,29.769,0.09554,29.993,2.8975e-5,0,2.8975e-5,0,0.011643,3.6552,28.61,-80.6,9.7884,0,0,0,0,26105,3767.3,38.296,0.11038,NaN,222.07,NaN,2.847e-4,20190,1036.6,1.0866e-4,1.4179,1.4179,1.1989,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2259e-5,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0081412
0.012,4.8518e-4,0.15437,36.937,0.15553,37.214,5.9573e-5,0,5.9573e-5,0,0.018954,4.5353,28.61,-80.6,9.7884,0,0,0,0,26104,3766.2,38.295,0.11038,NaN,222.07,NaN,4.6345e-4,32867,1225.1,2.5365e-4,1.249,1.249,1.03,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9957e-5,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0092529
0.014,8.678e-4,0.22825,44.105,0.22996,44.437,1.0655e-4,0,1.0655e-4,0,0.028025,5.4155,28.61,-80.6,9.7884,0,0,0,0,26103,3765.1,38.295,0.11038,NaN,222.07,NaN,6.8525e-4,48596,1413.5,5.0526e-4,1.1381,1.1381,0.91905,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9508e-5,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0099118
0.016,0.0014125,0.31646,51.274,0.31884,51.659,1.7343e-4,0,1.7343e-4,0,0.038857,6.2957,28.61,-80.6,9.7884,0,0,0,0,26102,3764.1,38.294,0.11037,NaN,222.06,NaN,9.5009e-4,67378,1602,9.034e-4,1.0585,1.0585,0.83952,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0912e-5,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.011141
0.018,0.002148,0.41901,58.444,0.42216,58.883,2.6374e-4,0,2.6374e-4,0,0.051448,7.176,28.61,-80.6,9.7884,0,0,0,0,26101,3763,38.293,0.11037,NaN,222.06,NaN,0.001258,89212,1790.5,0.0014935,0.99816,0.99816,0.77916,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4171e-5,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.011869
0.02,0.0031029,0.53591,65.614,0.53993,66.107,3.8099e-4,0,3.8099e-4,0,0.065801,8.0564,28.61,-80.6,9.7884,0,0,0,0,26100,3762,38.292,0.11037,NaN,222.05,NaN,0.0016089,114100,1978.9,0.0023262,0.95045,0.95045,0.73145,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9282e-5,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.012472
0.022,0.0043059,0.66714,72.784,0.67215,73.331,5.287e-4,0,5.287e-4,0,0.081914,8.9368,28.61,-80.6,9.7884,0,0,0,0,26099,3760.9,38.291,0.11037,NaN,222.05,NaN,0.0020029,142040,2167.4,0.0034575,0.91157,0.91157,0.69257,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6248e-5,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.013069
0.024,0.0057858,0.81271,76.243,0.81882,76.815,7.1041e-4,0,7.1041e-4,0,0.099789,9.3614,28.61,-80.6,9.7884,0,0,0,0,26098,3759.9,38.29,0.11037,NaN,222.05,NaN,0.00244,173034,2258.2,0.0049484,0.87913,0.87913,0.66013,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0507e-4,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.013701
0.026,0.0075637,0.96521,75.99,0.97245,76.561,9.2871e-4,0,9.2871e-4,0,0.11851,9.3304,28.61,-80.6,9.7884,0,0,0,0,26096,3758.3,38.288,0.11037,NaN,222.04,NaN,0.0028978,205502,2251.5,0.0067697,0.85269,0.85269,0.63369,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2478e-4,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.014334
0.028,0.0096461,1.1172,75.739,1.1256,76.308,0.0011844,0,0.0011844,0,0.13717,9.2996,28.61,-80.6,9.7884,0,0,0,0,26094,3756.3,38.287,0.11036,NaN,222.03,NaN,0.0033541,237862,2244.7,0.0088436,0.83143,0.83143,0.61243,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4443e-4,14.016,154.28,83,0,NaN,7.0751,875.43,335.59,2e-3,0.014946
0.03,0.012032,1.2687,75.488,1.2782,76.055,0.0014773,0,0.0014773,0,0.15578,9.2687,28.61,-80.6,9.7884,0,0,0,0,26092,3754.3,38.285,0.11036,NaN,222.03,NaN,0.0038089,270116,2237.9,0.011163,0.81381,0.81381,0.59481,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6402e-4,14.016,154.28,83,0,NaN,7.0751,875.43,335.59,2e-3,0.015628
0.032,0.01472,1.4197,75.236,1.4303,75.801,0.0018074,0,0.0018074,0,0.17431,9.2379,28.61,-80.6,9.7884,0,0,0,0,26090,3752.2,38.283,0.11036,NaN,222.02,NaN,0.0042622,302262,2231.1,0.013721,0.79885,0.79885,0.57985,0.099003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8354e-4,14.016,154.28,83,0,NaN,7.0751,875.43,335.59,2e-3,0.016242
0.034,0.01771,1.5702,74.985,1.5819,75.548,0.0021745,0,0.0021745,0,0.19279,9.207,28.61,-80.6,9.7884,0,0,0,0,26088,3750.2,38.281,0.11036,NaN,222.01,NaN,0.004714,334301,2224.4,0.016512,0.78592,0.78592,0.56692,0.099003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0299e-4,14.016,154.28,83,0,NaN,7.0751,875.43,335.59,2e-3,0.016865
0.036,0.021,1.7201,74.734,1.7331,75.295,0.0025785,0,0.0025785,0,0.21121,9.1762,28.61,-80.6,9.7884,0,0,0,0,26086,3748.1,38.279,0.11036,NaN,222,NaN,0.0051643,366234,2217.6,0.019532,0.77459,0.77459,0.55558,0.099003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2238e-4,14.016,154.28,83,0,NaN,7.0751,875.43,335.59,2e-3,0.017579
0.038,0.02459,1.8696,74.482,1.8837,75.042,0.0030193,0,0.0030193,0,0.22956,9.1453,28.61,-80.6,9.7884,0,0,0,0,26084,3746.1,38.278,0.11035,NaN,222,NaN,0.005613,398059,2210.8,0.022774,0.76453,0.76453,0.54552,0.099003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4171e-4,14.016,154.28,83,0,NaN,7.075,875.43,335.59,2e-3,0.018209
0.04,0.028478,2.0186,74.231,2.0338,74.788,0.0034967,0,0.0034967,0,0.24785,9.1144,28.61,-80.6,9.7884,0,0,0,0,26082,3744,38.276,0.11035,NaN,221.99,NaN,0.0060603,429777,2204,0.026235,0.75551,0.75551,0.5365,0.099003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6097e-4,14.016,154.28,83,0,NaN,7.075,875.43,335.59,2e-3,0.018835
0.042,0.032664,2.1671,73.979,2.1833,74.535,0.0040106,0,0.0040106,0,0.26608,9.0835,28.61,-80.6,9.7884,0,0,0,0,26080,3742,38.274,0.11035,NaN,221.98,NaN,0.006506,461388,2197.3,0.02991,0.74736,0.74736,0.52835,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8016e-4,14.016,154.28,83,0,NaN,7.075,875.43,335.59,2e-3,0.019447
0.044,0.037146,2.315,73.728,2.3324,74.282,0.004561,0,0.004561,0,0.28425,9.0527,28.61,-80.6,9.7884,0,0,0,0,26078,3740,38.272,0.11035,NaN,221.98,NaN,0.0069503,492892,2190.5,0.033795,0.73994,0.73994,0.52093,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9929e-4,14.016,154.28,83,0,NaN,7.075,875.43,335.59,2e-3,0.020062
0.046,0.041924,2.4625,73.476,2.481,74.028,0.0051476,0,0.0051476,0,0.30236,9.0218,28.61,-80.6,9.7884,0,0,0,0,26076,3737.9,38.27,0.11034,NaN,221.97,NaN,0.007393,524289,2183.7,0.037886,0.73315,0.73315,0.51414,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1835e-4,14.016,154.28,83,0,NaN,7.0749,875.42,335.59,2e-3,0.020675
0.048,0.046996,2.6095,73.225,2.6291,73.775,0.0057703,0,0.0057703,0,0.3204,8.9909,28.61,-80.6,9.7884,0,0,0,0,26074,3735.9,38.269,0.11034,NaN,221.96,NaN,0.0078342,555579,2176.9,0.04218,0.72689,0.72689,0.50788,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3735e-4,14.016,154.28,83,0,NaN,7.0749,875.42,335.59,2e-3,0.023735
0.05,0.052361,2.7559,72.973,2.7766,73.521,0.0064291,0,0.0064291,0,0.33838,8.96,28.61,-80.6,9.7884,0,0,0,0,26072,3733.8,38.267,0.11034,NaN,221.95,NaN,0.0082739,586761,2170.2,0.046673,0.7211,0.7211,0.50208,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5629e-4,14.016,154.28,83,0,NaN,7.0749,875.42,335.59,2e-3,0.024508
0.052,0.058019,2.9019,72.721,2.9237,73.267,0.0071238,0,0.0071238,0,0.35631,8.9291,28.61,-80.6,9.7884,0,0,0,0,26070,3731.8,38.265,0.11034,NaN,221.95,NaN,0.0087121,617836,2163.4,0.051362,0.71572,0.71572,0.4967,0.099005,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7516e-4,14.016,154.28,83,0,NaN,7.0748,875.42,335.59,2e-3,0.025119
0.054,0.063968,3.0473,72.47,3.0702,73.014,0.0078543,0,0.0078543,0,0.37417,8.8981,28.61,-80.6,9.7884,0,0,0,0,26067,3729.8,38.263,0.11033,NaN,221.94,NaN,0.0091488,648804,2156.6,0.056242,0.71069,0.71069,0.49168,0.099005,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9396e-4,14.016,154.28,83,0,NaN,7.0748,875.42,335.59,2e-3,0.025728
0.056,0.070208,3.1923,72.218,3.2163,72.76,0.0086204,0,0.0086204,0,0.39196,8.8672,28.61,-80.6,9.7884,0,0,0,0,26065,3727.7,38.261,0.11033,NaN,221.93,NaN,0.009584,679665,2149.8,0.061311,0.70599,0.70599,0.48698,0.099005,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.127e-4,14.016,154.28,83,0,NaN,7.0747,875.42,335.59,2e-3,0.026395
0.058,0.076737,3.3367,71.966,3.3618,72.506,0.0094221,0,0.0094221,0,0.4097,8.8363,28.61,-80.6,9.7884,0,0,0,0,26063,3725.7,38.26,0.11033,NaN,221.93,NaN,0.010018,710418,2143,0.066567,0.70158,0.70158,0.48256,0.099005,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3138e-4,14.016,154.28,83,0,NaN,7.0747,875.42,335.59,2e-3,0.027085
0.06,0.083554,3.4807,71.714,3.5068,72.252,0.010259,0,0.010259,0,0.42737,8.8054,28.61,-80.6,9.7884,0,0,0,0,26061,3723.6,38.258,0.11033,NaN,221.92,NaN,0.01045,741065,2136.3,0.072005,0.69742,0.69742,0.4784,0.099006,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4998e-4,14.016,154.28,83,0,NaN,7.0747,875.42,335.59,2e-3,0.027668
0.062,0.090659,3.6241,71.462,3.6513,71.999,0.011132,0,0.011132,0,0.44498,8.7744,28.61,-80.6,9.7884,0,0,0,0,26059,3721.6,38.256,0.11032,NaN,221.91,NaN,0.01088,771603,2129.5,0.077622,0.6935,0.6935,0.47448,0.099006,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6853e-4,14.016,154.28,83,0,NaN,7.0746,875.42,335.59,2e-3,0.028277
0.064,0.09805,3.767,71.21,3.7953,71.745,0.012039,0,0.012039,0,0.46253,8.7435,28.61,-80.6,9.7884,0,0,0,0,26057,3719.6,38.254,0.11032,NaN,221.9,NaN,0.01131,802035,2122.7,0.083416,0.68979,0.68979,0.47076,0.099006,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8701e-4,14.016,154.28,83,0,NaN,7.0746,875.42,335.59,2e-3,0.028953
0.066,0.10573,3.9095,70.992,3.9388,71.525,0.012982,0,0.012982,0,0.48002,8.7167,28.61,-80.6,9.7884,0,0,0,0,26055,3717.5,38.252,0.11032,NaN,221.9,NaN,0.011737,832359,2116.8,0.089385,0.68626,0.68626,0.46724,0.099007,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0542e-4,14.016,154.28,83,0,NaN,7.0745,875.42,335.59,2e-3,0.029617
