Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
10.79,4,0.110815803,0.146645172,0.132925108,0.111357665,0.097604099,0.501705564,0.509755821,0.282726907,0.227028914,7.301711548,59.35385088,59.3538479,827563100
10.8,4,0.110798675,0.14661873,0.132898667,0.111340454,0.097586887,0.501574169,0.509622902,0.282593988,0.227028914,7.299807623,59.34520731,59.34520432,828330000
10.81,4,0.110781602,0.146592361,0.132872297,0.111323298,0.097569731,0.501443006,0.509490219,0.282461305,0.227028914,7.297907075,59.3365947,59.3365917,829097100
10.82,4,0.110764554,0.146566029,0.132845965,0.111306166,0.0975526,0.501312033,0.509357728,0.282328814,0.227028914,7.296009288,59.32797271,59.32796971,829864000
10.83,4,0.110747563,0.146539769,0.132819705,0.111289092,0.097535525,0.50118127,0.509225452,0.282196538,0.227028914,7.294114568,59.31936194,59.31935894,830631000
10.84,4,0.110730616,0.146513568,0.132793505,0.111272062,0.097518495,0.501050719,0.509093392,0.282064477,0.227028914,7.292222942,59.31076077,59.31075776,831398000
10.85,4,0.110713704,0.146487418,0.132767354,0.111255068,0.097501501,0.500920371,0.508961537,0.281932622,0.227028914,7.290334261,59.30217152,59.3021685,832164900
10.86,4,0.110696838,0.14646133,0.132741266,0.111238119,0.097484552,0.500790262,0.508829925,0.28180101,0.227028914,7.288449057,59.2936187,59.29361568,832931800
10.87,4,0.110680008,0.146435291,0.132715227,0.111221206,0.097467639,0.500660337,0.5086985,0.281669586,0.227028914,7.286566538,59.28505108,59.28504806,833698900
10.88,4,0.110663222,0.146409311,0.132689247,0.111204339,0.097450772,0.500530624,0.508567291,0.281538376,0.227028914,7.284687098,59.27649471,59.27649168,834465900
10.89,4,0.110646483,0.146383393,0.132663329,0.111187517,0.097433951,0.500401117,0.508436291,0.281407377,0.227028914,7.282810676,59.26795369,59.26795066,835232800
10.9,4,0.110629788,0.146357535,0.132637471,0.111170741,0.097417174,0.500271822,0.508305508,0.281276593,0.227028914,7.280937336,59.25942392,59.25942089,835999700
10.91,4,0.110613129,0.146331727,0.132611663,0.111154001,0.097400434,0.500142733,0.508174932,0.281146018,0.227028914,7.27906698,59.25090071,59.25089767,836766700
10.92,4,0.110596517,0.146305979,0.132585915,0.111137307,0.09738374,0.500013834,0.508044551,0.281015637,0.227028914,7.27719941,59.24240742,59.24240438,837533700
10.93,4,0.110579938,0.146280281,0.132560217,0.111120648,0.097367081,0.499885161,0.507914399,0.280885485,0.227028914,7.275335119,59.23391037,59.23390733,838300700
10.94,4,0.110563406,0.146254642,0.132534578,0.111104034,0.097350467,0.499756676,0.507784438,0.280755524,0.227028914,7.273473566,59.22542135,59.2254183,839067600
10.95,4,0.11054692,0.146229065,0.132509001,0.111087467,0.097333901,0.499628402,0.507654693,0.280625778,0.227028914,7.271615095,59.21694441,59.21694136,839834600
10.96,4,0.110530468,0.146203538,0.132483474,0.111070935,0.097317369,0.499500335,0.507525157,0.280496243,0.227028914,7.269759633,59.20847699,59.20847394,840601600
10.97,4,0.110514063,0.146178072,0.132458008,0.111054451,0.097300884,0.499372478,0.507395836,0.280366921,0.227028914,7.267907244,59.20004388,59.20004082,841368600
10.98,4,0.110497692,0.146152654,0.13243259,0.111037999,0.097284432,0.499244828,0.507266723,0.280237809,0.227028914,7.266057842,59.19160055,59.19159749,842135500
10.99,4,0.110481368,0.146127296,0.132407232,0.111021595,0.097268028,0.499117355,0.507137792,0.280108878,0.227028914,7.264211039,59.18316387,59.1831608,842902500
11,4,0.110465079,0.146101989,0.132381925,0.111005226,0.09725166,0.498990099,0.50700908,0.279980166,0.227028914,7.26236738,59.17474353,59.17474046,843669500
11.01,4,0.110448837,0.146076744,0.13235668,0.110988905,0.097235339,0.498863051,0.506880581,0.279851667,0.227028914,7.260526764,59.16633484,59.16633176,844436500
11.02,4,0.11043263,0.146051546,0.132331482,0.110972619,0.097219052,0.498736189,0.506752271,0.279723356,0.227028914,7.258688856,59.15793373,59.15793065,845203500
11.03,4,0.110416457,0.1460264,0.132306336,0.110956367,0.0972028,0.498609559,0.506624194,0.27959528,0.227028914,7.256854298,59.14954331,59.14954022,845970400
11.04,4,0.110400343,0.146001324,0.13228126,0.110940174,0.097186607,0.498483083,0.506496277,0.279467363,0.227028914,7.255022022,59.14117971,59.14117663,846737400
11.05,4,0.110384252,0.145976287,0.132256223,0.110924005,0.097170438,0.49835684,0.506368596,0.279339681,0.227028914,7.253193114,59.1328122,59.13280911,847504400
11.06,4,0.110368208,0.14595131,0.132231246,0.110907882,0.097154315,0.498230781,0.506241102,0.279212187,0.227028914,7.251366896,59.12445769,59.1244546,848271400
11.07,4,0.110352199,0.145926383,0.132206319,0.110891795,0.097138228,0.498104929,0.506113817,0.279084903,0.227028914,7.249543684,59.11611064,59.11610754,849038300
11.08,4,0.110336238,0.145901517,0.132181453,0.110875755,0.097122188,0.497979262,0.505986722,0.278957808,0.227028914,7.247723179,59.10777201,59.10776891,849805200
11.09,4,0.110320311,0.145876702,0.132156638,0.11085975,0.097106184,0.497853823,0.505859857,0.278830943,0.227028914,7.245905973,59.09945199,59.09944889,850572300
11.1,4,0.11030442,0.145851934,0.13213187,0.110843782,0.097090215,0.49772855,0.505733161,0.278704247,0.227028914,7.24409119,59.09113303,59.09112991,851339300
11.11,4,0.110288575,0.145827227,0.132107163,0.110827859,0.097074292,0.497603479,0.505606672,0.278577757,0.227028914,7.242279358,59.08284688,59.08284376,852106200
11.12,4,0.110272766,0.145802571,0.132082507,0.110811973,0.097058406,0.497478619,0.505480396,0.278451482,0.227028914,7.240470593,59.07455496,59.07455184,852873200
11.13,4,0.110256991,0.145777964,0.1320579,0.110796121,0.097042555,0.497353966,0.50535433,0.278325416,0.227028914,7.238664835,59.0662751,59.06627198,853640100
11.14,4,0.110241264,0.145753415,0.132033352,0.110780318,0.097026751,0.497229468,0.505228423,0.278199508,0.227028914,7.236861342,59.0579995,59.05799638,854407200
11.15,4,0.110225571,0.145728918,0.132008854,0.110764548,0.097010981,0.497105201,0.50510275,0.278073836,0.227028914,7.235061212,59.04973924,59.04973611,855174100
11.16,4,0.110209916,0.145704471,0.131984407,0.110748816,0.096995249,0.496981117,0.504977263,0.277948349,0.227028914,7.233263741,59.04149157,59.04148843,855941100
11.17,4,0.110194301,0.145680077,0.131960013,0.110733124,0.096979557,0.496857218,0.504851964,0.27782305,0.227028914,7.23146897,59.03324835,59.03324521,856708000
11.18,4,0.110178723,0.145655735,0.131935671,0.11071747,0.096963903,0.496733525,0.504726874,0.27769796,0.227028914,7.22967719,59.02503814,59.025035,857475000
11.19,4,0.110163184,0.145631445,0.131911381,0.110701855,0.096948288,0.496610013,0.504601969,0.277573055,0.227028914,7.227888049,59.01681537,59.01681222,858241900
11.2,4,0.110147683,0.145607208,0.131887144,0.110686278,0.096932711,0.496486708,0.504477273,0.277448359,0.227028914,7.226101918,59.0086074,59.00860425,859009000
11.21,4,0.110132218,0.14558302,0.131862956,0.110670738,0.096917171,0.496363585,0.504352763,0.277323849,0.227028914,7.224318442,59.00040909,59.00040593,859775900
11.22,4,0.110116794,0.145558888,0.131838824,0.110655239,0.096901672,0.496240665,0.504228459,0.277199545,0.227028914,7.222537914,58.99222219,58.99221903,860542900
11.23,4,0.110101405,0.145534803,0.131814739,0.110639774,0.096886208,0.496117935,0.504104348,0.277075433,0.227028914,7.22076015,58.98404777,58.98404461,861309800
11.24,4,0.110086056,0.145510773,0.131790709,0.11062435,0.096870783,0.495995401,0.503980436,0.276951522,0.227028914,7.218985248,58.97588114,58.97587797,862076800
11.25,4,0.110070742,0.14548679,0.131766726,0.110608961,0.096855395,0.495873034,0.503856695,0.27682778,0.227028914,7.217212785,58.96772394,58.96772077,862843800
11.26,4,0.110055466,0.145462861,0.131742797,0.110593611,0.096840044,0.495750887,0.503733176,0.276704261,0.227028914,7.215443502,58.95957842,58.95957524,863610800
11.27,4,0.110040229,0.145438982,0.131718918,0.110578299,0.096824732,0.495628909,0.50360983,0.276580915,0.227028914,7.213676702,58.95145903,58.95145585,864377800
