0,0
0.01,0.0017223
0.02,0.013501
0.03,0.047798
0.04,0.11171
0.05,0.20697
0.06,0.33454
0.07,0.49539
0.08,0.69045
0.09,0.92036
0.1,1.1853
0.11,1.4854
0.12,1.8206
0.13,2.1911
0.14,2.597
0.15,3.0384
0.16,3.5152
0.17,4.0277
0.18,4.5757
0.19,5.1595
0.2,5.7792
0.21,6.4349
0.22,7.1267
0.23,7.8549
0.24,8.6195
0.25,9.4206
0.26,10.258
0.27,11.132
0.28,12.043
0.29,12.99
0.3,13.974
0.31,14.994
0.32,16.051
0.33,17.145
0.34,18.275
0.355,20.04
0.3775,22.842
0.401,25.967
0.42337,29.131
0.44605,32.525
0.46981,36.284
0.4954,40.561
0.52486,45.781
0.56302,53.007
0.61302,63.26
0.66302,74.385
0.68422,79.359
0.7013,83.474
0.71638,87.188
0.73032,90.685
0.74357,94.07
0.75647,97.418
0.76932,100.81
0.78243,104.31
0.79614,108.04
0.81097,112.14
0.82817,116.97
0.85087,123.49
0.88492,133.55
0.93492,148.93
0.95348,154.81
0.96869,159.7
0.9825,164.2
0.9957,168.53
1.0088,172.88
1.0223,177.43
1.0371,182.43
1.0543,188.31
1.0768,196.12
1.1105,208.04
1.1605,225.99
1.1777,232.23
1.1928,237.67
1.2071,242.86
1.2215,248.02
1.2363,253.36
1.2525,259.22
1.2721,266.25
1.3011,276.67
1.3447,292.24
1.3725,302.11
1.39,308.29
1.4052,313.67
1.4196,318.77
1.434,323.83
1.4491,329.14
1.4659,335.01
1.4865,342.24
1.5175,353.03
1.564,369.13
1.5908,378.39
1.6098,384.88
1.6267,390.68
1.6431,396.29
1.66,402.05
1.6786,408.38
1.7014,416.1
1.7355,427.62
1.7855,444.39
1.8123,453.32
1.8337,460.43
1.8552,467.57
1.8786,475.32
1.9058,484.27
1.9443,496.89
1.9943,513.18
2.0415,528.41
2.0671,536.65
2.0913,544.42
2.1174,552.73
2.1526,563.94
2.2026,579.72
2.2526,595.39
2.282,604.53
2.3087,612.82
2.3374,621.71
2.3761,633.61
2.4261,648.89
2.4761,664.05
2.5177,676.58
2.5555,687.89
2.5931,699.08
2.6431,713.86
2.6931,728.53
2.7431,743.09
2.7719,751.43
2.7998,759.47
2.8314,768.55
2.8746,780.87
2.9246,795.04
2.9746,809.1
3.0136,819.97
3.0506,830.24
3.1006,844.02
3.1506,857.69
3.2006,871.26
3.2506,884.72
3.292,895.78
3.3374,907.83
3.3772,918.34
3.4226,930.24
3.4726,943.23
3.5226,956.13
3.5726,968.92
3.6163,980
3.6619,991.48
3.7119,1004
3.7619,1016.4
3.8119,1028.7
3.8619,1040.9
3.9018,1050.5
3.94,1059.7
3.9832,1070
4.0332,1081.9
4.0832,1093.6
4.1332,1105.3
4.1832,1116.8
4.2207,1125.4
4.2532,1132.8
4.2877,1140.6
4.3377,1151.9
4.3877,1163
4.4377,1174
4.4877,1185
4.5377,1195.8
4.5877,1206.6
4.6377,1217.2
4.6877,1227.8
4.7377,1238.3
4.7877,1248.6
4.8377,1258.9
4.8877,1269.1
4.9377,1279.2
4.9877,1289.1
5.0377,1299
5.0877,1308.8
5.1377,1318.5
5.1877,1328.1
5.2345,1337
5.2845,1346.5
5.3345,1355.8
5.3845,1365.1
5.4345,1374.2
5.4845,1383.3
5.5345,1392.3
5.5829,1400.8
5.6288,1408.9
5.6788,1417.6
5.7288,1426.2
5.7788,1434.7
5.8288,1443.1
5.8788,1451.5
5.9288,1459.7
5.9776,1467.7
6.0266,1475.6
6.0766,1483.6
6.1266,1491.4
6.1766,1499.3
6.2266,1507
6.2766,1514.6
6.3266,1522.1
6.3766,1529.6
6.4266,1536.9
6.4766,1544.2
6.5266,1551.4
6.5766,1558.5
6.6266,1565.5
6.6766,1572.4
6.7266,1579.2
6.7766,1586
6.8266,1592.6
6.8766,1599.2
6.9266,1605.7
6.9766,1612.1
7.0266,1618.4
7.0766,1624.6
7.1266,1630.7
7.1766,1636.8
7.2266,1642.8
7.2766,1648.7
7.3266,1654.5
7.3766,1660.2
7.4266,1665.8
7.4766,1671.3
7.5266,1676.8
7.5766,1682.2
7.6266,1687.5
7.6766,1692.7
7.7266,1697.8
7.7766,1702.8
7.8266,1707.7
7.8766,1712.6
7.9266,1717.4
7.9766,1722
8.0266,1726.6
8.0766,1731.2
8.1266,1735.6
8.1766,1740
8.2266,1744.3
8.2766,1748.4
8.3266,1752.6
8.3766,1756.6
8.4266,1760.6
8.4766,1764.4
8.5266,1768.2
8.5766,1771.9
8.6266,1775.5
8.6766,1779.1
8.7266,1782.5
8.7766,1785.9
8.8266,1789.2
8.8766,1792.4
8.9266,1795.5
8.9766,1798.6
9.0266,1801.6
9.0766,1804.4
9.1266,1807.2
9.1766,1809.9
9.2266,1812.6
9.2766,1815.1
9.3266,1817.6
9.3766,1819.9
9.4266,1822.2
9.4766,1824.5
9.5266,1826.6
9.5766,1828.7
9.6266,1830.6
9.6766,1832.5
9.7266,1834.4
9.7766,1836.1
9.8266,1837.8
9.8766,1839.3
9.9266,1840.8
9.9766,1842.3
10.027,1843.6
10.077,1844.9
10.127,1846
10.177,1847.2
10.227,1848.2
10.277,1849.1
10.327,1850
10.377,1850.8
10.427,1851.5
10.477,1852.1
10.527,1852.7
10.577,1853.1
10.627,1853.5
10.677,1853.9
10.727,1854.1
10.777,1854.2
10.827,1854.3
10.877,1854.3
# Event APOGEE occurred at t=10.927 seconds,
10.927,1854.2
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=10.928 seconds,
10.948,1854.2
10.969,1854.1
